央视,#genre#
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225738/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8
天津卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8
重庆卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225734/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225734/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225692/index.m3u8
东南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225657/index.m3u8
广西卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225731/index.m3u8
黑龙江卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225736/index.m3u8#http://39.135.138.58:18890/TVOD/88888888/224/3221225736/index.m3u8
湖北卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225699/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225705/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225746/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225705/index.m3u8
吉林卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225680/index.m3u8
内蒙古卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225667/index.m3u8
宁夏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225726/index.m3u8
山西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225730/index.m3u8
新疆卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225725/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225725/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225725/index.m3u8
青海卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225727/index.m3u8
南方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226203/index.m3u8
兵团卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226200/index.m3u8
延边卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226201/index.m3u8
康巴卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226207/index.m3u8
西藏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225723/index.m3u8
